# Entries for Object Message Types;;;;;;;;;
#;;;;;;;;;
# --- STANDARD ---;;;;;;;;;
#;;;;;;;;;
# Exchange IDs;;;;;;;;;
#;;;;;;;;;
#DM1;OBJECTMESSAGETYPE;DOMAINID;domain identifier;3;;;;;
#OMD1;OBJECTMESSAGETYPE;UID;unique identifier of the object message;7;;;;;
#OMD10;OBJECTMESSAGETYPE;STATUSTYPES;resulting status types of the object message;2;;;;;
#OMD2;OBJECTMESSAGETYPE;AREA;area of the object message;3;;;;;
#OMD20;OBJECTMESSAGETYPE;STATUSCODES;resulting status codes of the object message;2;;;;;
#OMD3;OBJECTMESSAGETYPE;WEIGHT;weight of the object message;1;;;;;
#OMD4;OBJECTMESSAGETYPE;TYPEID;type of the object message;3;;;;;   [Error] = 1        Info = 3        Attention = 2        Warning = 4
#OMD5;OBJECTMESSAGETYPE;MESSAGE;message text of the object message;3;;;;;
#OMD6;OBJECTMESSAGETYPE;DESCRIPTION;additional description and help text of the object message;10;;;;;
#OMD7;OBJECTMESSAGETYPE;ISPERSISTED;true if the messages of this type will be persisted in the log;9;;;;;
#;;;;;;;;;
# HEADER;;;;;;;;;
#;;;;;;;;;
OMD1;DM1;OMD2;OMD5;OMD6;OMD3;OMD4;OMD7;OMD20;OMD10
1190;@;VALIDATOR;object entry validation for '%1%.%2% (XID %5%) succeeded. Value'%4%' could be converted to data type '%3%';;10;Info;false;|G1|G1|;|ENTRYVALIDATOR|XCHANGEENVELOPE|
#;;;;;;;;;
#  Messages of process in an MQF;;;;;;;;;
#;;;;;;;;;
1290;@;XCHANGE;mqf command '%2%' run with success in xchange configuration '%1%';;10;Info;false;|G1|;|XCHANGEENVELOPE|
1291;@;XCHANGE;precheck / preprocess a message queue message before running process;;91;Error;false;|R1|;|XCHANGEENVELOPE|
1292;@;XCHANGE;precheck run on this message queue message failed - processing not possible;;91;Error;false;|R1|;|XCHANGEENVELOPE|
#;;;;;;;;;
# Schedule Lifecycle Status;;;;;;;;;
#;;;;;;;;;
2100;@;SCHEDULING;schedule of schedule type '%1%' has no finishing milestone '%2%';;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2101;@;SCHEDULING;schedule #%1%.%2% has no schedule type or schedule type couldnot be retrieved;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2102;@;SCHEDULING;schedule of schedule type '%1%' has a date milestone ('%2%') with value '%3%' which is not a valid date ;;98;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2103;@;SCHEDULING;schedule of schedule type '%1%' has an actual milestone ('%2%') with value '%3%' which is prohibited;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2104;@;SCHEDULING;schedule of schedule type '%1%' has a mandatory actual milestone ('%2%') with no value;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2105;@;SCHEDULING;schedule of schedule type '%1%' has a facultative actual milestone ('%2%') with no value;;10;Info;false;|G1|;|SCHEDULINGLFCL|
2106;@;SCHEDULING;schedule of schedule type '%1%' has a forecast milestone ('%2%') with value '%3%' which is prohibited;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2107;@;SCHEDULING;schedule of schedule type '%1%' has a mandatory forecast milestone ('%2%') with no value;;90;Error;true;|R1|R2|;|SCHEDULINGLFCL|TRACKING|
2108;@;SCHEDULING;schedule of schedule type '%1%' has a facultative forecast milestone ('%2%') with no value;;10;Info;false;|G1|;|SCHEDULINGLFCL|
# success;;;;;;;;;
2200;@;SCHEDULING;schedule of schedule type '%1%' can go alive and passed all checks;;10;Info;true;|G1|;|SCHEDULINGLFCL|
2201;@;SCHEDULING;schedule of schedule type '%1%' can go alive and passed life cycle checks with comments or warnings;;11;Info;true;|G1|;|SCHEDULINGLFCL|
2210;@;SCHEDULING;schedule of schedule type '%1%' has a date milestone %3% ('%2%') on a non-working or absence day in calendar '%4%';;11;Info;true;|G2|Y1|;|SCHEDULINGLFCL|ENTRYVALIDATOR|
2211;@;SCHEDULING;schedule of schedule type '%1%' has finished with milestone '%2%' on %3% - further checks are obsolete;;97;Info;true;|G2|;|SCHEDULINGLFCL|
#;;;;;;;;;
# Schedule Process Status;;;;;;;;;
#;;;;;;;;;
